dir	hook	length
35s37_(5)103_03.01.14_GA	1806.569	35.5
35s37_(5)104_03.01.14_PB	1854.079	36
35s37_104_02.15.13_H2O	682.044	19
35s37_117_03.25.13_H2O	1872.1	39
35s37_119_05.04.13_H2O	1980.852	35.5
35s37_120_04.17.13_H2O	1699.99	30
35s37_123_05.22.13_H2O	1907.14	37.5
35s37_131_02.11.14_GA	1900	34
35s37_133_02.11.14_PB	1800	32.5
35s37_136_12.16.13_H2O	1740	28.5
35s37_149_04.30.14_H2O	1937.922	42
35s37_150_04.30.14_H2O	1900	42.5
35s37_151_04.09.14_H2O	1793.689	36.5
35s37_152_04.09.14_H2O	1809.66	37
35s37_156_04.30.14_PB	1802.437	30
717_106_02.15.13_H2O	691.622	30.5
717_110_03.25.13_H2O	1800	49
717_112_04.17.13_H2O	1900	39
717_113_04.17.13_H2O	1400	33
717_114_03.06.13_H2O	727.108	19
717_118_05.04.13_H2O	1847.63	34
717_123_05.22.13_H2O	1891.457	39.5
717_127_06.06.13_H2O	1772.578	31.3
717_133_08.12.13_H2O	1918.679	39.5
717_137_10.23.13_H2O	1881.891	47
717_143mz_12.17.13_H2O	1800	40.5
717_146_02.11.14_GA	1755.226	39.5
717_150_03.15.14_GA	1900	43
717_152_03.15.14_PB	1800	42.5
717_160_04.09.14_H2O	1800	45
717_162_04.09.14_H2O	1950.013	42.5
717_168_05.19.14_PB	1886.199	49.5
717_193_09.26.14_BR	1979.723	49
717_193_09.26.14_BR-short	2042.43	49
miRNAi-2_130mz_12.17.13_H2O	1800	43
miRNAi-2_(2)101_08.12.13_H2O	1771.824	36
miRNAi-2_101_02.15.13_H2O	1600	27
miRNAi-2_108_03.25.13_H2O	1883.83	40.6
miRNAi-2_111_05.04.13_H2O	1775.122	35
miRNAi-2_115_05.22.13_H2O	1650	34
miRNAi-2_118_06.06.13_H2O	1700	35
miRNAi-2_119_06.21.13_H2O	1755.897	40
miRNAi-2_125_08.12.13_H2O	1749.96	32.5
miRNAi-2_149_04.09.14_H2O	1668.719	47.5
miRNAi-2_150_04.09.14_H2O	1900	43
miRNAi-2_153_05.19.14_PB	1700	54
miRNAi-2_156_05.19.14_decapitated	1750	55.5
miRNAi-2_188_09.26.14_BR	2000	41
miRNAi-2_192_09.26.14_BR	1584.795	39
T2-1_125_06.23.14_H2O	1989.05	44
T2-1_132_09.26.14_BR	1998.76	50
miRNAi-2_140_03.01.14_PB	1796.873	55.7
miRNAi-2_139_03.01.14_GA	1878.846	56.5
miRNAi-2_141_03.15.14_PB	1910.198	40
miRNAi-2_142_03.15.14_PB	2045.234	46
miRNAi-2_143_03.15.14_GA	1782.216	48.5
35s37_132_8.12.13_H2O	1303.736	28.5
